snr_before,snr_after,snr_improvement,psnr,mse,mae,ssim
-0.4489133,8.188871,8.637785,27.433195,0.0018058452,0.032404806,0.8459443514404633
2.3412745,12.382258,10.040984,27.26762,0.0018760224,0.037314337,0.9240091384517751
-1.9668581,8.129286,10.096144,23.497192,0.0044697253,0.054972038,0.7914643641878607
-3.9764404,4.306573,8.283013,21.708004,0.00674838,0.07395468,0.729737125751601
20.108757,16.780514,-3.3282433,20.946741,0.008041292,0.085338324,0.9740937268134907
20.28815,12.4782715,-7.8098793,13.745049,0.042217754,0.20481159,0.9577451985209579
-4.5845704,5.288796,9.873366,26.127739,0.0024390807,0.042533398,0.739665677950808
5.8653474,11.888867,6.02352,27.283688,0.0018690947,0.02773171,0.916027886155482
2.2509975,14.764303,12.513306,31.73749,0.00067027204,0.018746793,0.9604559042383611
-4.2632303,4.72356,8.98679,23.350609,0.0046231626,0.048413783,0.629484811468525
22.29964,16.135656,-6.1639843,20.024416,0.009943937,0.09508162,0.9618859693091836
7.391768,13.866654,6.4748864,25.509342,0.002812327,0.04081449,0.8750434826733368
3.6998453,6.483465,2.7836199,18.377169,0.014530582,0.09914757,0.6400001742063561
-3.8587925,5.582864,9.441656,24.291765,0.003722403,0.04203354,0.6374847575113639
0.1506537,10.7424965,10.591843,27.735147,0.0016845551,0.032535393,0.9138098844198042
4.0476317,10.969852,6.9222207,23.463938,0.0045040813,0.058857135,0.9180634680107462
-1.4525645,6.0484285,7.500993,23.956879,0.0040207976,0.0457152,0.6978902098569677
5.75319,12.174912,6.4217224,26.11517,0.0024461504,0.0325447,0.9048525353465373
-3.6726377,3.4303167,7.1029544,22.040459,0.006251069,0.065091796,0.5924880958772968
0.13397898,8.442889,8.30891,25.885647,0.0025789056,0.03500552,0.8255777137781805
-7.341249,5.407302,12.74855,26.941616,0.0020222666,0.03508127,0.7204742377468263
1.0660583,7.297884,6.231826,16.981573,0.020037463,0.10820644,0.4269790234204511
-9.443503,1.369968,10.813472,24.60988,0.0034594897,0.04708301,0.5466269985716894
-3.8594844,6.1935816,10.053066,21.43626,0.007184127,0.07340707,0.8007199620186709
-6.0403686,-1.6311703,4.4091983,14.216278,0.03787671,0.18792342,0.5152308755960727
2.091392,11.231786,9.140394,26.32242,0.0023321589,0.04344927,0.9274361960186157
-6.932394,-2.4312842,4.50111,15.2707405,0.029711587,0.16640392,0.42462347678750695
-3.1676564,8.038579,11.206236,25.324474,0.002934626,0.039849553,0.8126281699936887
1.271254,4.7643476,3.4930935,15.538031,0.027938107,0.13396542,0.14946592691813182
-0.33042765,8.833003,9.163431,23.87697,0.0040954635,0.052818432,0.8571794128819168
23.318512,15.064854,-8.253658,17.518557,0.017706975,0.12764685,0.949207385377801
-4.3523197,7.245659,11.597979,25.590172,0.0027604692,0.041153364,0.7600958373606221
1.1611313,9.233928,8.072797,23.342907,0.0046313675,0.054206256,0.8517340189031721
-0.160308,7.5354,7.695708,24.105875,0.0038851916,0.059211623,0.8496168693040915
-2.015045,6.322074,8.337119,24.381016,0.0036466864,0.052249104,0.7848302661006679
0.07207858,7.627017,7.5549383,23.339502,0.004634999,0.053642415,0.815544529342614
12.882537,6.504318,-6.3782187,12.752753,0.0530548,0.22924381,0.7195963053717014
1.4749484,6.3853655,4.910417,26.468967,0.0022547753,0.034186643,0.7168395816131934
-2.7369668,5.357185,8.0941515,21.897066,0.0064609074,0.05751609,0.6682671095541565
-2.593752,3.7338195,6.3275714,19.72069,0.010664267,0.082332164,0.49480754074561634
-0.19227406,6.98962,7.1818943,17.535387,0.017638484,0.11405182,0.8144050945760041
-3.7610598,3.311168,7.0722275,21.614052,0.006895962,0.07772361,0.7558329082736333
-2.8521001,6.6357536,9.487854,30.204485,0.00095400686,0.019739553,0.8247812909729988
-6.4613686,0.9688309,7.4301996,23.148476,0.004843424,0.067606926,0.5341677035694216
16.929153,13.718091,-3.2110624,17.779213,0.016675495,0.12174529,0.9340768832167123
4.8934464,12.565739,7.672292,26.82119,0.0020791276,0.036105465,0.885407303914448
-5.788567,0.012994968,5.801562,18.881208,0.012938361,0.11020604,0.6383439012706558
-3.8977785,2.7298238,6.6276026,21.579893,0.0069504166,0.07766906,0.6831070850477999
2.060122,11.138291,9.078169,28.380625,0.0014519026,0.027389007,0.8447504875884632
-0.13227426,6.868717,7.0009913,22.377705,0.0057840166,0.050939452,0.7382544462295402
-5.3838415,2.7198544,8.103696,24.29515,0.003719502,0.045707304,0.5672572186663584
-3.861877,4.3288946,8.190771,21.695051,0.006768539,0.0724398,0.7252719247646218
0.12764625,11.097153,10.969506,22.942307,0.005078895,0.059804875,0.8714605833391016
-5.1532555,2.058619,7.2118745,16.705267,0.021353705,0.13574094,0.5898670688268578
0.60745776,11.108656,10.501198,28.693253,0.0013510607,0.030881764,0.9219036303336708
-2.8536952,6.4222107,9.275906,19.838783,0.010378188,0.09039946,0.8111303661807123
-3.0199027,4.787974,7.8078766,22.385979,0.0057730074,0.06154719,0.6793262366291635
-2.331948,6.7384906,9.070438,23.591042,0.0043741707,0.044409804,0.7356372720289353
4.5052857,13.542958,9.037672,23.510935,0.004455603,0.0567607,0.9219546882628971
-10.25614,-0.14217155,10.113968,23.176386,0.004812395,0.06404762,0.37901984925761995
-7.5273676,-0.16888297,7.3584847,21.252659,0.0074943514,0.072275236,0.45394572530552163
24.58416,14.51476,-10.0694,15.755384,0.026574284,0.16032068,0.9594421548201112
14.857403,9.700333,-5.15707,10.871445,0.08181925,0.28123322,0.8796952231474308
-3.436882,5.4822774,8.919159,20.442532,0.009031229,0.07692076,0.7264537707279557
-5.0052285,6.1546907,11.15992,22.59993,0.0054954966,0.06283983,0.7281804439859547
-0.6427076,7.19496,7.8376675,26.106377,0.002451107,0.033771355,0.7725195481371119
11.879614,19.387974,7.50836,23.599321,0.00436584,0.05454715,0.9442779595444221
-6.9121003,0.15156324,7.0636635,16.644203,0.021656077,0.13896307,0.5808761976975653
1.8321639,8.3821335,6.5499697,24.972073,0.003182679,0.034605935,0.8257446408706648
-6.8281226,4.462733,11.290855,25.466125,0.0028404514,0.04105233,0.6557274218091669
14.943375,13.36855,-1.5748243,17.202808,0.019042294,0.13022678,0.9217920752528258
-3.0246542,4.8063297,7.830984,23.063658,0.004938945,0.056324475,0.7209793789988697
19.945614,15.327057,-4.618557,21.562407,0.0069784555,0.07925627,0.9629452694415879
-5.7758546,-0.50953925,5.2663155,16.120949,0.024428966,0.15181552,0.626586492505677
-7.807456,1.4792658,9.286722,22.10499,0.006158867,0.056496095,0.41798783400694006
3.261844,9.442213,6.1803694,26.470644,0.002253905,0.032593675,0.876576205315754
25.264877,14.994181,-10.270697,16.276333,0.023570389,0.15027677,0.9594324675127051
-2.936676,5.660322,8.596998,22.271915,0.0059266402,0.070623145,0.7904679135433239
19.740103,13.681252,-6.0588512,18.030935,0.015736436,0.1141676,0.9375829254467987
20.651539,13.700115,-6.9514236,18.111473,0.015447308,0.11437896,0.9454956527349049
14.938892,12.846546,-2.0923462,17.262245,0.018783454,0.11956793,0.8820438944502847
20.401943,13.931572,-6.4703712,18.339306,0.014657821,0.11093238,0.9487694200341664
8.922556,8.896445,-0.02611065,13.333335,0.046415873,0.17507555,0.49269078873578565
20.356987,13.767588,-6.5893993,17.699728,0.0169835,0.11952345,0.9423674412587549
10.390142,8.9242325,-1.46591,13.534657,0.044313326,0.18535656,0.6171419040928626
11.823292,10.082266,-1.7410259,14.552454,0.035055373,0.15978512,0.7069070549364406
15.604745,12.834902,-2.769843,17.426569,0.018086022,0.116894126,0.8980214086377803
14.107412,12.2769785,-1.8304338,16.893566,0.020447645,0.13003285,0.8577481640670961
14.061698,11.776858,-2.2848396,16.378353,0.023023147,0.12961343,0.8426466468548902
13.604947,9.709016,-3.8959312,13.581687,0.043836035,0.19018699,0.8033840937961036
19.994928,16.17961,-3.815319,19.024189,0.012519329,0.104783505,0.9329343020164594
27.513521,15.157991,-12.35553,17.774612,0.016693166,0.12662204,0.9695482864999715
26.186737,14.072095,-12.114642,16.729033,0.02123718,0.14256209,0.9587199112535854
19.92722,12.232119,-7.695101,14.625061,0.034474175,0.18094872,0.9310434655381375
24.430134,13.919228,-10.510906,16.538074,0.022191798,0.14429386,0.9550985138916178
22.300308,12.934743,-9.365565,15.538879,0.027932642,0.1622794,0.9453751546700718
25.572742,14.148443,-11.424299,16.83781,0.020711856,0.14053547,0.962506281402585
16.889904,12.627869,-4.2620354,14.609835,0.03459525,0.17048705,0.8473359858222799
16.550602,19.813496,3.2628937,22.238861,0.00597192,0.06448465,0.9292455914231287
15.907711,11.58977,-4.3179407,13.715828,0.042502772,0.1871305,0.8098990279867453
24.57143,16.047997,-8.523434,18.253344,0.01495084,0.11831804,0.9697895193676912
19.178902,17.714325,-1.4645767,20.114979,0.009738726,0.08871367,0.9312690128203971
21.989496,16.10389,-5.885607,18.845942,0.013043853,0.10622606,0.953399899244645
15.616724,11.786376,-3.830348,13.653067,0.043121453,0.19295058,0.7675361830814994
18.015749,17.67637,-0.33937836,21.175896,0.007627996,0.07764186,0.9429652753515059
21.10629,16.025585,-5.0807056,19.555338,0.011078121,0.09984151,0.9550377444038368
